date,ticker,price
2024-01-01,AAPL,150.10147412431323
2024-01-02,AAPL,149.38745541988712
2024-01-03,AAPL,150.53183543713345
2024-01-04,AAPL,150.6508403088659
2024-01-05,AAPL,152.55260959606633
2024-01-06,AAPL,152.6125826911775
2024-01-07,AAPL,151.9938972885685
2024-01-08,AAPL,150.80247565527947
2024-01-09,AAPL,150.80101130764697
2024-01-10,AAPL,150.41471003157747
2024-01-11,AAPL,149.53908929683195
2024-01-12,AAPL,148.71645287848594
2024-01-13,AAPL,147.09733366751138
2024-01-14,AAPL,145.27657027353584
2024-01-15,AAPL,144.90769871159833
2024-01-16,AAPL,145.42720183378026
2024-01-17,AAPL,145.33200304175764
2024-01-18,AAPL,144.8719379554745
2024-01-19,AAPL,144.3285361127558
2024-01-20,AAPL,144.9614522507308
